tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
1895575685458248027,Fri Feb 28 20:43:56 +0000 2025,"Grande @RedondoTerreros 
Usted fue una referencia política en tiempos muy duros en España
Ahora vienen tiempos duros para Europa",5,0,0,312,128,0,1,0,lovat1942,baseline_feb,política España,0.0,neutral
1895575385116680689,Fri Feb 28 20:42:44 +0000 2025,"@GalileoArms Hasta para el más atlantista, como yo, ésto ha sido la gota que ha colmado el vaso.
Trump va a cargarse en 4 años 80 de política transatlántica. 
Hoy por primera vez me he sentido arrepentido de que España fuera a Afganistán a una guerra que no era nuestra.",52,2,9,3535,270,0,1,0,compulsivox,baseline_feb,política España,0.3818,positive
1895574396733178342,Fri Feb 28 20:38:48 +0000 2025,Ya para otro día dejamos a esos mismos gilipollas de PP y PSOE que se han tirado décadas normalizando que ni España ni Europa tengan política exterior propia e independiente de EE.UU. Muchos de los que ahora se escandalizan son también culpables de estar como estamos.,3,1,0,162,268,0,0,0,KarlosBernabeM,baseline_feb,política España,0.0,neutral
1895572688468656227,Fri Feb 28 20:32:01 +0000 2025,"Esto es lo que apoyan en España, Ayuso, Abascal y sus acólitos. Política de matones de barrio.",25,6,4,1219,94,0,0,0,uby77,baseline_feb,política España,0.0,neutral
1895571897661915466,Fri Feb 28 20:28:53 +0000 2025,"Hoy se cumplen 7 años de la muerte del más grande hombre de acción, jurista y pensador político de la España contemporánea: Don Antonio García-Trevijano. Murió el genio, pero no su acción. Adelante compatriotas, conquistemos nuestra libertad política. DIPUTADOS DE DISTRITO YA! https://t.co/9cCsU0ul0k",49,5,0,377,301,0,0,1,capitandistrito,baseline_feb,política España,-0.3595,negative
1895571226313015773,Fri Feb 28 20:26:13 +0000 2025,"ENTRE LEONES NUEVO EPISODIO DE PANORAMA Carmen Castilla: una voz desde Sevilla al Congreso

Carmen Castilla Álvarez, nacida en Sevilla en 1968, es una figura destacada del panorama político español que combina una sólida trayectoria sindical con un perfil parlamentario en https://t.co/DT4SYBGL1e",2,1,0,113,296,0,0,1,pepeconjerez,baseline_feb,política España,0.0,neutral
1895570953775825084,Fri Feb 28 20:25:08 +0000 2025,"España debería tomar nota de cómo se juega en política a muy alto nivel,que tenemos la política internacional dirigida por payasos.
Lo digo pq EEUU tiene como socio preferente a Marruecos y a nuestro país no saben ni ponerlo en el mapa,y tenemos provincias codiciadas por el moro.",19,3,2,985,280,0,0,0,LizRihz,baseline_feb,política España,-0.296,negative
1895570687332663637,Fri Feb 28 20:24:04 +0000 2025,"@IustitiaEuropa Suponía que el trabajo de IE era perseguir la corrupción política e impulsar un sistema más democrático en España, algo que gente de todas las ideologías puede apoyar. Sin embargo veo que lleva también una deriva pro Putin y antisemita, y eso no.",1,0,1,105,262,0,1,0,jmdelpuerto,baseline_feb,política España,-0.5574,negative
1895570162730090746,Fri Feb 28 20:21:59 +0000 2025,"España es un gran país, su clase política es lo que no vale nada.
Buenas noches, Nifu.
https://t.co/k5HoRukHRA",3,2,0,128,110,0,0,1,Tinkerbell_Klug,baseline_feb,política España,-0.296,negative
1895569949839790409,Fri Feb 28 20:21:08 +0000 2025,"@viejocontinent_ Se debería salir de la OTAN pero después de que se cree un ejército europeo o ejércitos coordinados en todo caso, España debería ser de los que lideren esto, le beneficiaría demasiado.

El PP y PSOE deberían acordar esto como política de estado a medio y largo plazo.",0,0,0,47,284,0,1,0,ManePollito,baseline_feb,política España,0.0,neutral
