tweet_id,month,month_name,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1996223483617898594,12,December,Wed Dec 03 14:22:21 +0000 2025,"Todo mi cariño y mi más sentido pésame para la familia y amigos de la mujer asesinada en Alicante por la #ViolenciaDeGénero.

No pararemos hasta que la nuestra sea una sociedad plenamente igualitaria, justa y libre de violencias machistas.

Llama al 016.
#NiUnaMenos",2982,688,1122,164814,266,2,0,0,-0.296,negative
1996177982285631710,12,December,Wed Dec 03 11:21:32 +0000 2025,"España elige estar a la vanguardia de la electrificación del automóvil.
 
Con el Plan Auto que hoy presentamos, el Gobierno apoya la oferta y la demanda para que se encuentren en un nuevo punto de equilibrio: el coche eléctrico, económico y español. https://t.co/cCLKnQ2hJP",2036,607,1319,127963,273,0,0,1,0.0,neutral
1996157762145824807,12,December,Wed Dec 03 10:01:11 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

El presidente @sanchezcastejon clausura el acto de presentación del Plan España Auto 2030. https://t.co/u…",0,144,0,,140,0,2,1,0.0,neutral
1996148242602480018,12,December,Wed Dec 03 09:23:22 +0000 2025,RT @desdelamoncloa: Conmemoramos el #DíaDeLasPersonasConDiscapacidad reiterando el compromiso del Gobierno con los derechos de todas las pe…,0,118,0,3,140,1,1,0,0.0,neutral
1996138062984691797,12,December,Wed Dec 03 08:42:55 +0000 2025,"Hoy celebramos la Navarra que avanza, que crea riqueza y prosperidad, que mira al futuro con esperanza y optimismo. 

Una tierra que es ejemplo de convivencia, pluralidad y diversidad.

Feliz día a todos los navarros y navarras.

Zorionak guztioi! https://t.co/x1wTAWf7e0",2071,346,685,124583,271,0,0,1,0.0,neutral
1995958105327501748,12,December,Tue Dec 02 20:47:50 +0000 2025,"RT @oscarlopeztwit: Frente al ruido y a quienes buscan generar conflicto constante…

Soluciones 👇🏼 https://t.co/V2e2qUpZ0I",0,342,0,10,122,0,1,1,0.0,neutral
1995939374681522673,12,December,Tue Dec 02 19:33:24 +0000 2025,"¡C A M P E O N A S!

Nuestra @SEFutbolFem vuelve a triunfar en la #NationsLeague.

Sois un orgullo para toda España. 

¡Enhorabuena!",7530,1073,449,250306,132,1,1,0,0.0,neutral
1995821125821972504,12,December,Tue Dec 02 11:43:31 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

Rueda de prensa de la portavoz del Gobierno, Pilar Alegría, y el ministro de @mintradigital, Óscar López,…",0,101,0,,140,0,2,0,0.0,neutral
1995780717691752565,12,December,Tue Dec 02 09:02:57 +0000 2025,"El paro cae y se sitúa en la cifra más baja en un mes de noviembre en 18 años.

En el último año, el desempleo se ha reducido en más de 160.000 personas.

Además, se consolida la cifra histórica de 21,8 millones de afiliados.

¡Seguimos!",4482,1528,1374,236507,237,0,0,0,0.4003,positive
1995765292216033630,12,December,Tue Dec 02 08:01:39 +0000 2025,"En unos minutos estaré con @GemmaNierga, en
@cafedidees_rtve, para repasar la actualidad de los últimos días.

Podéis seguirlo en directo, aquí👇
https://t.co/b0YTl5GwnM",1680,365,930,92774,168,0,2,1,0.0,neutral
